Domain Code	Domain	Area Code (M49)	Area	Element Code	Element	Item Code (CPC)	Item	Year Code	Year	Unit	Value	Flag	Flag Description	Note
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2018	2018	ha	42	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2018	2018	kg/ha	1149.4	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2018	2018	t	48.28	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2019	2019	ha	43	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2019	2019	kg/ha	1143.9	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2019	2019	t	49.19	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2020	2020	ha	44	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2020	2020	kg/ha	1154.9	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2020	2020	t	50.82	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2021	2021	ha	44	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2021	2021	kg/ha	1156.7	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2021	2021	t	50.89	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2022	2022	ha	45	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2022	2022	kg/ha	1142.5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2022	2022	t	51.41	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1929.07	"Abaca, manila hemp, raw"	2023	2023	ha	45	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1929.07	"Abaca, manila hemp, raw"	2023	2023	kg/ha	1154	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1929.07	"Abaca, manila hemp, raw"	2023	2023	t	51.93	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2018	2018	ha	692	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2018	2018	kg/ha	10090.5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2018	2018	t	6977.93	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2019	2019	ha	771	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2019	2019	kg/ha	10081.2	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2019	2019	t	7776.68	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2020	2020	ha	885	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2020	2020	kg/ha	10104	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2020	2020	t	8942	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2021	2021	ha	1123	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2021	2021	kg/ha	13895.8	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2021	2021	t	15605	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2022	2022	ha	1227	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2022	2022	kg/ha	14553.4	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2022	2022	t	17857	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2023	2023	ha	1206	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2023	2023	kg/ha	15362.4	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1654	"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"	2023	2023	t	18527	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2018	2018	ha	238	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2018	2018	kg/ha	1789.2	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2018	2018	t	425.55	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2019	2019	ha	67	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2019	2019	kg/ha	3902.2	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2019	2019	t	260.82	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2020	2020	ha	57	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2020	2020	kg/ha	1856.1	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2020	2020	t	105.76	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2021	2021	ha	339	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2021	2021	kg/ha	2879.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2021	2021	t	976.05	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2022	2022	ha	695	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2022	2022	kg/ha	2879.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2022	2022	t	2000	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1341	Apples	2023	2023	ha	274	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1341	Apples	2023	2023	kg/ha	2879.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1341	Apples	2023	2023	t	788.86	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2018	2018	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2018	2018	kg/ha	4733.2	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2018	2018	t	76.93	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2019	2019	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2019	2019	kg/ha	4838.6	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2019	2019	t	78.2	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2020	2020	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2020	2020	kg/ha	4705.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2020	2020	t	76.86	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2021	2021	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2021	2021	kg/ha	4758.7	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2021	2021	t	77.33	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2022	2022	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2022	2022	kg/ha	4767.2	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2022	2022	t	77.46	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1343	Apricots	2023	2023	ha	16	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1343	Apricots	2023	2023	kg/ha	4743.6	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1343	Apricots	2023	2023	t	77.22	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2018	2018	ha	5	I	"Value 
imputed by a
receiving 
agency"	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2018	2018	kg/ha	5640.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2018	2018	t	26.37	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2019	2019	ha	5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2019	2019	kg/ha	5212.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2019	2019	t	27.03	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2020	2020	ha	5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2020	2020	kg/ha	5249.9	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2020	2020	t	26.89	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2021	2021	ha	5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2021	2021	kg/ha	5358.6	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2021	2021	t	26.76	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2022	2022	ha	5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2022	2022	kg/ha	5272.5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2022	2022	t	26.9	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1216	Artichokes	2023	2023	ha	5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1216	Artichokes	2023	2023	kg/ha	5293.1	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1216	Artichokes	2023	2023	t	26.85	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2018	2018	ha	70	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2018	2018	kg/ha	6298.4	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2018	2018	t	440.89	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2019	2019	ha	67	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2019	2019	kg/ha	6017.8	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2019	2019	t	401.19	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2020	2020	ha	65	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2020	2020	kg/ha	6178.5	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2020	2020	t	400.91	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2021	2021	ha	67	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2021	2021	kg/ha	6167	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2021	2021	t	414.33	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2022	2022	ha	70	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2022	2022	kg/ha	5714.3	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2022	2022	t	400	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1211	Asparagus	2023	2023	ha	70	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1211	Asparagus	2023	2023	kg/ha	5714.3	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5510	Production	1211	Asparagus	2023	2023	t	400	E	Estimated value	
QCL	Crops and livestock products	404	Kenya	5312	Area harvested	1311	Avocados	2018	2018	ha	14497	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5412	Yield	1311	Avocados	2018	2018	kg/ha	16136.6	A	Official figure	
QCL	Crops and livestock products	404	Kenya	5510	Production	1311	Avocados	2018	2018	t	233932.56	A	Official figure	
