N,P,K,temperature,humidity,ph,rainfall,label,NPK_ratio,NP_ratio,NK_ratio,PK_ratio,nutrient_sum,nutrient_balance,nutrient_dominance,temp_humidity_index,heat_stress_index,water_stress_index,moisture_availability,evapotranspiration,ph_deviation_neutral,acidic_soil,alkaline_soil,climate_zone,rainfall_category,N_category,P_category,K_category,tropical_suitability,temperate_suitability,arid_suitability
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,1.0465116279069768,2.0930232558139537,2.0454545454545454,0.9545454545454546,175,27.42869543622761,0.5113636363636364,17.121962830390814,3.757780879609186,9.719254173738133,166.41270870186509,1.8517116075253388,0.497014708,0,0,temperate,high,high,medium,medium,0,0,0
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,0.85,1.4406779661016949,2.0238095238095237,1.380952380952381,184,22.188585654190156,0.4594594594594595,17.485957343980754,4.284504346019246,10.411149778422544,182.0489209272913,1.89031531952294,0.03809636100000002,0,0,temperate,high,high,medium,medium,0,0,0
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,0.6,1.0714285714285714,1.3333333333333333,1.2222222222222223,159,8.18535277187245,0.375,18.937446273298857,4.067012876701143,11.474481789762052,217.29738240756498,1.5407438369699664,0.8402071439999999,0,1,temperate,high,medium,medium,medium,0,0,0
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,0.9736842105263158,2.0555555555555554,1.8048780487804879,0.8536585365853658,149,21.221058723196006,0.49333333333333335,21.234829079544806,5.2562672704551945,9.167760782388306,194.67583325616965,2.164283932682526,0.019599095000000233,0,0,temperate,high,medium,low,low,1,0,0
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,0.9176470588235294,1.813953488372093,1.813953488372093,0.9767441860465116,162,20.784609690826528,0.4785276073619632,16.42720357036975,3.70297124963025,13.050921954188968,214.39015172247,1.4094887085042833,0.6284728910000004,0,1,temperate,high,medium,medium,medium,0,0,0
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,0.8625,1.8157894736842106,1.6046511627906976,0.8604651162790697,148,17.21433511156714,0.46308724832214765,19.22352236179895,3.834526358201048,10.887955127887334,209.30484887520575,1.527365063932516,0.07345350299999964,0,0,temperate,high,medium,low,medium,0,0,0
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,0.7340425531914894,1.2321428571428572,1.7692307692307692,1.4102564102564104,162,15.524174696260024,0.4233128834355828,18.766450619256133,3.9423873607438664,11.947985213464454,224.22127450808313,1.4530136880681748,1.2991943199999998,1,0,temperate,high,medium,medium,low,0,0,0
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,1.0,1.7407407407407407,2.292682926829268,1.2926829268292683,187,28.18391976523729,0.5,16.809050273750024,3.4686933462499745,11.932994096115316,200.58229767796456,1.4334972155536965,1.2813728219999998,1,0,temperate,high,high,medium,low,0,0,0
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,0.956989247311828,1.6181818181818182,2.282051282051282,1.3846153846153846,181,26.08320021265284,0.489010989010989,20.47939393718087,4.036486722819132,9.399875904763848,192.50376161427323,1.7515958579469824,0.31465357600000043,0,0,temperate,high,high,medium,low,0,0,0
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,0.7010309278350515,1.152542372881356,1.7435897435897436,1.4871794871794872,164,15.275252316519467,0.4121212121212121,19.283614912692887,3.9403589473071152,9.52503637549306,183.67713349440018,1.7812817107611016,0.663746475,1,0,temperate,high,medium,medium,low,0,0,0
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,0.9680851063829787,1.6851851851851851,2.2195121951219514,1.2926829268292683,184,26.501572280401277,0.4918918918918919,21.597821864342382,4.929413265657619,9.975214846297476,215.44291330887637,1.8628632892951968,1.6138322120000002,1,0,temperate,high,high,medium,low,1,0,0
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1.0112359550561798,1.9148936170212767,2.0930232558139537,1.069767441860465,178,26.633312473917574,0.5027932960893855,19.531028678403572,4.447953491596427,10.429268090990035,203.69433417988566,1.7785892430960741,0.5028339600000002,0,1,temperate,high,high,medium,medium,0,0,0
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,0.7572815533980582,1.3220338983050848,1.7333333333333334,1.288888888888889,180,17.08800749063506,0.430939226519337,21.678319214626573,5.122476825373428,10.612985385787816,230.07168501327504,1.800921332238431,1.891318214,1,0,temperate,high,medium,medium,medium,1,0,0
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1.0,1.631578947368421,2.5135135135135136,1.5135135135135136,185,28.919428302325294,0.5,19.70593825444888,4.30903796555112,7.715074843409526,152.03278849268,2.3257231516461077,0.01564633999999998,0,0,temperate,moderate,high,medium,low,0,0,0
